Protocol,Src Port,Dst port,Packet Count,First Timestamp,Last Timestamp,Mean Packet Length
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49757,1,Unknown,Unknown,312
Ether,49757,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,58406,53,1,Unknown,Unknown,76
Ether,5353,5353,1,Unknown,Unknown,70
Ether,61161,5355,1,Unknown,Unknown,64
Ether,58407,1900,1,Unknown,Unknown,217
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
Ether,443,49748,1,Unknown,Unknown,1514
Ether,443,49748,1,Unknown,Unknown,1514
Ether,49748,443,1,Unknown,Unknown,54
